Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
07/01/2021,WSPH21,74.0,3765.13513513514,134.0,3773.26119402985,3798.5,5.3863,5.1967,No,1000.0,827874.31,-12294.229750006589,6.24,3.07,8.414285714285715,213.78184460000003,815360.0584053935
08/01/2021,WSPH21,171.0,3809.09941520468,199.0,3812.0716080402003,3817.5,5.4317,5.1967,No,972.0,258005.75,4837.607812494109,11.1,3.07,8.414285714285715,317.48199309999995,262514.7758193941
11/01/2021,WSPH21,82.0,3800.93597560976,137.0,3798.79927007299,3792.0,5.4921,5.1967,No,917.0,-340317.9765,2728.8871874905844,6.569999999999999,2.84,12.042857142857141,202.1932036,-337797.8525161094
12/01/2021,WSPH21,84.0,3797.5565476190495,21.0,3803.535714285711,3803.5,5.3565,5.1967,No,980.0,141217.42687499998,6695.624999996942,3.15,2.84,12.042857142857141,123.9724752,147785.92939979694
13/01/2021,WSPH21,371.0,3807.5660377358495,211.0,3801.59004739336,3811.0,5.3125,5.1967,No,1140.0,97617.1875,-9449.609375016495,17.46,2.84,12.042857142857141,547.5450987999999,87602.5730261835
14/01/2021,WSPH21,63.0,3804.3373015873,83.0,3806.55722891566,3793.0,5.1989,5.1967,No,1120.0,-266703.57,5341.869749998375,4.38,2.84,12.042857142857141,122.49661240000002,-261488.57686240162
15/01/2021,WSPH21,60.0,3775.5,160.0,3777.5625,3758.5,5.2961,5.1967,No,1020.0,-511603.26,26877.7075,6.6,2.84,12.042857142857141,236.13804799999997,-484968.29054799996
18/01/2021,WSPH21,37.0,3766.39864864865,92.0,3768.375,3762.25,5.2810000000000015,5.1967,No,965.0,50499.562500000015,5413.024999999281,3.8699999999999997,2.84,13.895238095238096,135.7793776,55772.93812239929
19/01/2021,WSPH21,70.0,3786.1785714285706,77.0,3793.00324675325,3791.5,5.3533,5.1967,No,958.0,377758.9603125,6534.371812504175,4.41,2.84,13.895238095238096,113.6414356,384175.28068940423
20/01/2021,WSPH21,111.0,3847.5900900900897,91.0,3837.16483516484,3850.5,5.3166,5.1967,No,978.0,751262.1630000001,-11836.080749993509,6.06,2.84,13.895238095238096,163.8207708,739256.2014792064
21/01/2021,WSPH21,82.0,3846.31097560976,42.0,3845.5535714285706,3852.0,5.3725,5.1967,No,1018.0,19703.64375,2629.1671874951135,3.7199999999999998,2.84,13.895238095238096,121.0207496,22208.07018789511
22/01/2021,WSPH21,160.0,3825.5453125,98.0,3835.5535714285706,3838.5,5.465,5.1967,No,1080.0,-187763.7375,24373.899999999154,7.739999999999999,2.84,13.895238095238096,236.13804799999997,-163633.71554800082
26/01/2021,WSPH21,45.0,3847.5833333333294,45.0,3851.5,3860.0,5.3514,5.1967,No,1080.0,310648.77,2357.9606250023726,2.6999999999999997,2.84,12.385714285714284,66.413826,312937.6167990024
27/01/2021,WSPH21,485.0,3781.48711340206,905.0,3792.969613259671,3752.0,5.377999999999999,5.1967,No,660.0,-1568224.7999999998,306226.68125004176,41.699999999999996,2.84,12.385714285714284,1335.655834,-1263375.474583958
28/01/2021,WSPH21,387.0,3802.755167958661,471.0,3783.037685774949,3788.75,5.4287,5.1967,No,576.0,329182.79625,-110073.67837501162,25.74,2.84,12.385714285714284,695.1313787999999,218388.24649618843
