Date,Total Liquidating Value,FX Description,FX Value,FX Rate,Comm,Exc Fee
28/12/2020,96233.87,,,,32.38,265.79
29/12/2020,-6262.41,,,,56.16,732.23
30/12/2020,-15347.37,FX - Sell BRL,-600000.0,5.21,29.22,352.85
04/01/2021,-107798.41,,,,55.58,638.6500000000001
05/01/2021,54029.69,FX - Buy BRL,262840.0,5.2568,107.36,1621.26
06/01/2021,45641.48,,,,41.12,438.44
07/01/2021,-15648.46,,,,39.24,451.95
08/01/2021,42317.52,,,,56.1,583.09
11/01/2021,-56691.36,Custody Fee - Banco B3,-10393.4,,73.57,967.6500000000001
12/01/2021,2114.03,,,,23.15,306.75
13/01/2021,2677.02,,,,74.46,762.4200000000001
14/01/2021,-12401.28,,,,41.38,366.65999999999997
15/01/2021,64582.73,FX - Buy BRL,105334.0,5.2667,57.6,646.74
18/01/2021,18764.06,,,,54.87,524.84
19/01/2021,171574.39,,,,21.41,235.23
20/01/2021,152695.14,,,,37.06,409.61
21/01/2021,-3239.6,,,,18.72,227.10999999999999
22/01/2021,69808.76,FX - Sell BRL,-280000.0,5.4166,63.74,610.44
26/01/2021,-42293.29,,,,23.7,212.32999999999998
27/01/2021,452653.44,,,,183.7,1973.52
28/01/2021,-139322.25,,,,104.74,1074.59
29/01/2021,184575.15,FX - Sell BRL,-400000.0,5.4451,195.72,2104.87
01/02/2021,-125535.54,,,,51.5,554.96
02/02/2021,-37908.3,,,,88.98,895.09
03/02/2021,-32665.31,,,,36.7,320.03999999999996
04/02/2021,5042.27,,,,22.58,283.21999999999997
05/02/2021,-166269.03,,,,68.0,768.21
08/02/2021,43740.44,,,,45.4,530.41
09/02/2021,-17200.99,,,,54.44,435.25
10/02/2021,41186.34,Custody Fee - Banco B3,-10951.8,,31.66,342.27000000000004
11/02/2021,-9878.46,,,,64.2,442.36
12/02/2021,-13871.89,,,,54.92,355.37
17/02/2021,97945.64,,,,62.22,473.34000000000003
18/02/2021,62456.41,,,,38.64,465.03999999999996
19/02/2021,-234555.59,,,,25.43,192.87
22/02/2021,310044.77,,,,25.04,289.20000000000005
23/02/2021,-30277.09,,,,52.78,669.5
24/02/2021,-44784.04,,,,49.49,445.73
25/02/2021,55581.38,,,,34.7,403.9
26/02/2021,-33155.59,,,,221.26,1959.1
01/03/2021,-224628.04,,,,103.26,805.34
02/03/2021,-26969.56,,,,40.54,348.75
03/03/2021,13791.15,FX - Buy BRL,399231.0,5.7033,126.65,1108.44
04/03/2021,-344124.73,,,,,
05/03/2021,102.43,,,,,
