Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
06/07/2020,DOLQ20,5365.0,35.0,5358.5,35.0,5355.71,5.35,5.358,No,0.0,0.0,-4882.499999999936,35.0,1.05,,393.813,-5311.312999999936
07/07/2020,DOLQ20,5380.5,10.0,5373.5,10.0,5372.0,5.3815,5.358,No,0.0,0.0,-750.0,10.0,1.05,,112.51799999999999,-872.518
08/07/2020,DOLQ20,5341.0,10.0,5361.5,10.0,5354.25,5.385,5.358,No,0.0,-0.0,-3625.0,10.0,1.05,,112.51799999999999,-3747.518
29/07/2020,DOLQ20,5152.69,20.0,5168.13,20.0,5168.63,5.1464,5.358,No,0.0,-0.0,500.0,20.0,1.05,,225.03599999999997,254.96400000000003
30/07/2020,DOLQ20,5150.64,80.0,5198.53,80.0,5199.34,5.1494,5.358,No,0.0,-0.0,3240.0000000016007,80.0,1.05,,900.1439999999999,2259.856000001601
