Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Close Day,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
20/08/2020,DOLU20,5565.649,0.0,0.0,10.0,5618.0,No,5.5675,5.2123,-10.0,0.0,26175.49999999983,5.0,1.05,,58.45875,26112.041249999827
21/08/2020,DOLU20,5607.54,0.0,0.0,0.0,0.0,No,5.6047,5.2123,-10.0,-20945.49999999981,0.0,0.0,1.05,,0.0,-20945.49999999981
24/08/2020,DOLU20,5597.1590000000015,0.0,0.0,0.0,0.0,No,5.5992,5.2123,-10.0,5190.499999999247,0.0,0.0,1.05,,0.0,5190.499999999247
25/08/2020,DOLU20,5523.8,0.0,0.0,0.0,0.0,No,5.5283,5.2123,-10.0,36679.50000000064,0.0,0.0,1.05,,0.0,36679.50000000064
26/08/2020,DOLU20,5618.936,0.0,0.0,0.0,0.0,No,5.6107,5.2123,-10.0,-47567.99999999975,0.0,0.0,1.05,,0.0,-47567.99999999975
27/08/2020,DOLU20,5568.821,0.0,0.0,0.0,0.0,No,5.5664,5.2123,-10.0,25057.49999999989,0.0,0.0,1.05,,0.0,25057.49999999989
28/08/2020,DOLU20,5410.88,10.0,5516.0,0.0,0.0,No,5.4158,5.2123,0.0,78970.4999999999,-52559.99999999994,5.0,1.05,,56.865899999999996,26348.634099999956
