Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
30/11/2020,ISPH21,0.0,0.0,5.0,3620.0,3620.0,5.3539,5.7442,0.0,-24092.550000000003,0.0,5.0,2.61,26.238095238095237,74.96181,-24172.511810000004
08/12/2020,ISPH21,0.0,0.0,1.0,3706.75,3694.0,5.1118,5.3539,-1.0,0.0,3258.7724999999996,1.0,2.61,26.333333333333332,13.973679,3243.7988209999994
09/12/2020,ISPH21,5.0,3675.35,20.0,3668.25,3668.75,5.1797,5.3539,-16.0,6539.37125,-11136.354999999883,25.0,2.61,26.333333333333332,279.47357999999997,-4901.457329999883
10/12/2020,ISPH21,14.0,3665.61,11.0,3666.5,3667.5,5.0511,5.3539,-13.0,5051.1,3904.50029999955,25.0,2.61,26.333333333333332,195.631506,8734.968793999551
11/12/2020,ISPH21,96.0,3650.8,100.0,3644.34,3653.5,5.0611,5.3539,-17.0,46056.009999999995,-166206.52400000073,196.0,2.61,26.333333333333332,1397.3679000000002,-121743.88190000074
14/12/2020,ISPH21,7.0,3670.21,2.0,3665.1,3640.0,5.1158,5.3539,-12.0,58703.805,-41251.25330000011,9.0,2.61,44.42857142857143,97.815753,17345.73594699989
15/12/2020,ISPH21,4.0,3698.13,4.0,3696.0,3696.0,5.0882,5.3539,-12.0,-170963.52,-2167.573200000111,8.0,2.61,44.42857142857143,55.894716,-173194.9879160001
16/12/2020,ISPH21,0.0,0.0,3.0,3708.75,3708.75,5.1144,5.3539,-15.0,-39125.159999999996,0.0,3.0,2.61,44.42857142857143,41.921037000000005,-39170.081036999996
17/12/2020,ISPH21,0.0,0.0,0.0,0.0,3723.0,5.0757,5.3539,-15.0,-54246.543750000004,0.0,0.0,2.61,44.42857142857143,0.0,-54246.543750000004
18/12/2020,ISPH21,1.0,3716.0,2.0,3720.38,3706.25,5.0917,5.3539,-16.0,63964.481250000004,4712.368350000056,3.0,2.61,44.42857142857143,27.947358,68645.90224200005
21/12/2020,ISPH21,22.0,3681.03409090909,5.0,3688.35,3685.75,5.1246,5.3539,1.0,84043.44,29914.852500004545,27.0,2.61,43.523809523809526,307.420938,113623.87156200456
22/12/2020,ISPH21,16.0,3679.890625,0.0,0.0,3680.0,5.1605,5.3539,17.0,-1483.64375,451.54375,16.0,2.61,43.523809523809526,223.578864,-1271.678864
23/12/2020,ISPH21,9.0,3690.0,13.0,3690.25,3690.0,5.1969,5.3539,13.0,44173.65,844.49625,22.0,2.61,43.523809523809526,181.657827,44814.488422999995
28/12/2020,ISPH21,16.0,3734.734375,13.0,3730.57692307692,3734.5,5.2745,5.3539,16.0,152564.9125,-14438.943750010074,29.0,2.61,42.142857142857146,223.578864,137873.38988598992
29/12/2020,ISPH21,1.0,3747.5,40.0,3736.2625,3728.0,5.19,5.3539,-23.0,-26988.000000000004,80704.49999999812,41.0,2.61,42.142857142857146,558.9471599999999,53116.55283999812
30/12/2020,ISPH21,6.0,3738.625,12.0,3732.9583333333294,3730.0,5.1805,5.3539,-29.0,-11915.150000000001,-4209.156250012251,18.0,2.61,42.142857142857146,167.68414800000002,-16309.990398012253
04/01/2021,ISPH21,28.0,3727.5535714285706,13.0,3763.78846153846,3692.0,5.2407,5.1805,-14.0,288762.57,-16311.678749999286,41.0,2.61,43.714285714285715,378.59094,272031.3003100007
05/01/2021,ISPH21,16.0,3714.015625,54.0,3692.2129629629603,3718.25,5.2659,5.1805,-52.0,-96760.9125,-352354.53375003766,70.0,2.61,43.714285714285715,730.13967,-449915.58592003764
06/01/2021,ISPH21,8.0,3721.84375,20.0,3725.6,3740.5,5.2641,5.1805,-64.0,-304528.185,-39151.74375000048,28.0,2.61,43.714285714285715,270.4221,-343978.3508500005
07/01/2021,ISPH21,20.0,3790.9875,3.0,3761.0,3798.5,5.3863,5.1805,-47.0,-999697.28,10166.64124999902,23.0,2.61,43.714285714285715,270.4221,-989824.0608500009
08/01/2021,ISPH21,13.0,3815.4807692307695,26.0,3811.75961538461,3817.5,5.4317,5.1805,-60.0,-242525.405,-33404.95500004051,39.0,2.61,43.714285714285715,351.54873000000003,-276320.9087300405
11/01/2021,ISPH21,6.0,3797.9583333333294,8.0,3801.59375,3792.0,5.4921,5.1805,-62.0,420145.64999999997,11258.805000006492,14.0,2.61,48.857142857142854,108.16884,431282.2861600065
