Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
11/08/2020,WSPZ20,3342.0,20.0,3374.75,0.0,0.0,5.3944,5.2123,20.0,0.0,-8833.33,0.6,2.84,18.80714285714285,29.605863999999997,-8863.535864
12/08/2020,WSPZ20,3376.0,0.0,0.0,0.0,0.0,5.4716,5.2123,20.0,9301.72,0.0,0.0,2.84,18.80714285714285,0.0,9301.72
13/08/2020,WSPZ20,3377.0,0.0,0.0,0.0,0.0,5.3758,5.2123,20.0,268.79,0.0,0.0,2.84,18.80714285714285,0.0,268.79
14/08/2020,WSPZ20,3368.0,0.0,0.0,0.0,0.0,5.4358,5.2123,20.0,-2446.11,0.0,0.0,2.84,18.80714285714285,0.0,-2446.11
17/08/2020,WSPZ20,3383.75,0.0,0.0,0.0,0.0,5.5106,5.2123,20.0,4339.5975,0.0,0.0,2.84,13.578571428571427,0.0,4339.5975
18/08/2020,WSPZ20,3390.0,0.0,0.0,0.0,0.0,5.4765,5.2123,20.0,1711.40625,0.0,0.0,2.84,13.578571428571427,0.0,1711.40625
19/08/2020,WSPZ20,3374.0,0.0,0.0,0.0,0.0,5.5145,5.2123,20.0,-4411.6,0.0,0.0,2.84,13.578571428571427,0.0,-4411.6
20/08/2020,WSPZ20,3385.0,0.0,0.0,0.0,0.0,5.5675,5.2123,20.0,3062.125,0.0,0.0,2.84,13.578571428571427,0.0,3062.125
21/08/2020,WSPZ20,3394.0,0.0,0.0,0.0,0.0,5.6047,5.2123,20.0,2522.1150000000002,0.0,0.0,2.84,13.578571428571427,0.0,2522.1150000000002
24/08/2020,WSPZ20,3427.0,40.0,3423.75,0.0,0.0,5.5992,5.2123,60.0,9238.68,1819.74,1.2,3.07,9.861904761904762,64.007044,10993.212956
25/08/2020,WSPZ20,3444.0,0.0,0.0,0.0,0.0,5.5283,5.2123,60.0,14097.164999999999,0.0,0.0,3.07,9.861904761904762,0.0,14097.164999999999
26/08/2020,WSPZ20,3483.0,0.0,0.0,0.0,0.0,5.6107,5.2123,60.0,32822.594999999994,0.0,0.0,3.07,9.861904761904762,0.0,32822.594999999994
27/08/2020,WSPZ20,3488.0,0.0,0.0,0.0,0.0,5.5664,5.2123,60.0,4174.8,0.0,0.0,3.07,9.861904761904762,0.0,4174.8
28/08/2020,WSPZ20,3509.25,0.0,0.0,0.0,0.0,5.4158,5.2123,60.0,17262.8625,0.0,0.0,3.07,9.861904761904762,0.0,17262.8625
31/08/2020,WSPZ20,3497.0,0.0,0.0,0.0,0.0,5.4676,5.2123,60.0,-10046.715,0.0,0.0,3.07,9.678571428571429,0.0,-10046.715
01/09/2020,WSPZ20,3535.0,0.0,0.0,0.0,0.0,5.3722,5.4676,60.0,30621.54,0.0,0.0,3.07,9.678571428571429,0.0,30621.54
02/09/2020,WSPZ20,3583.0,0.0,0.0,0.0,0.0,5.3651,5.4676,60.0,38628.72,0.0,0.0,3.07,9.678571428571429,0.0,38628.72
03/09/2020,WSPZ20,3471.75,0.0,0.0,0.0,0.0,5.2775,5.4676,60.0,-88068.28125,0.0,0.0,3.07,9.678571428571429,0.0,-88068.28125
04/09/2020,WSPZ20,3427.0,0.0,0.0,0.0,0.0,5.303,5.4676,60.0,-35596.3875,0.0,0.0,3.07,9.678571428571429,0.0,-35596.3875
08/09/2020,WSPZ20,3347.0,0.0,0.0,0.0,0.0,5.3586,5.4676,60.0,-64303.2,0.0,0.0,2.84,15.271428571428574,0.0,-64303.2
09/09/2020,WSPZ20,3408.0,0.0,0.0,0.0,0.0,5.2927,5.4676,60.0,48428.205,0.0,0.0,2.84,15.271428571428574,0.0,48428.205
10/09/2020,WSPZ20,3350.0,0.0,0.0,0.0,0.0,5.3076,5.4676,60.0,-46176.119999999995,0.0,0.0,2.84,15.271428571428574,0.0,-46176.119999999995
11/09/2020,WSPZ20,3344.0,0.0,0.0,0.0,0.0,5.3334,5.4676,60.0,-4800.06,0.0,0.0,2.84,15.271428571428574,0.0,-4800.06
