Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price
06/07/2020,ISPU20,3172.0,7.0,3177.5,21.0,3173.0
07/07/2020,ISPU20,3136.5,16.0,3157.0,12.0,3162.4
08/07/2020,ISPU20,3163.5,16.0,3148.22,17.0,3153.35
09/07/2020,ISPU20,3142.0,18.0,3139.14,16.0,3149.13
10/07/2020,ISPU20,3178.5,14.0,3160.59,11.0,3158.11
13/07/2020,ISPU20,3148.25,19.0,3185.86,12.0,3166.79
14/07/2020,ISPU20,3183.5,6.0,3168.04,9.0,3176.83
15/07/2020,ISPU20,3220.0,14.0,3218.14,15.0,3226.55
16/07/2020,ISPU20,3196.0,19.0,3205.14,33.0,3204.51
17/07/2020,ISPU20,3214.0,17.0,3215.79,19.0,3221.51
20/07/2020,ISPU20,3245.25,5.0,3225.85,9.0,3245.64
21/07/2020,ISPU20,3253.5,5.0,3268.0,9.0,3253.42
22/07/2020,ISPU20,3272.5,2.0,3271.0,17.0,3264.85
23/07/2020,ISPU20,3229.0,24.0,3235.44,15.0,3240.67
24/07/2020,ISPU20,3204.0,1.0,3211.75,13.0,3210.75
27/07/2020,ISPU20,3232.25,2.0,3226.75,9.0,3236.53
28/07/2020,ISPU20,3213.0,8.0,3229.22,4.0,3236.63
29/07/2020,ISPU20,3252.5,3.0,3249.83,5.0,3249.6
30/07/2020,ISPU20,3274.0,16.0,3231.16,12.0,3230.75
31/07/2020,ISPU20,3270.0,22.0,3266.88,2.0,3238.0
03/08/2020,ISPU20,3290.0,0.0,0.0,0.0,0.0
04/08/2020,ISPU20,3300.75,2.0,3300.88,11.0,3300.34
05/08/2020,ISPU20,3318.0,1.0,3319.5,6.0,3322.0
06/08/2020,ISPU20,3344.25,4.0,3332.25,25.0,3334.34
07/08/2020,ISPU20,3345.0,6.0,3331.75,2.0,3340.0
10/08/2020,ISPU20,3355.0,4.0,3353.38,0.0,0.0
11/08/2020,ISPU20,3338.0,12.0,3353.54,7.0,3359.93
12/08/2020,ISPU20,3370.0,4.0,3372.13,15.0,3367.23
13/08/2020,ISPU20,3374.0,10.0,3377.38,7.0,3376.39
14/08/2020,ISPU20,3363.25,25.0,3367.25,22.0,3368.66
17/08/2020,ISPU20,3381.5,2.0,3382.75,2.0,3381.5
18/08/2020,ISPU20,3390.0,4.0,3381.38,7.0,3388.71
19/08/2020,ISPU20,3372.75,10.0,3388.2,5.0,3377.65
20/08/2020,ISPU20,3380.75,18.0,3377.88,14.0,3382.71
21/08/2020,ISPU20,3392.5,8.0,3379.44,5.0,3392.85
24/08/2020,ISPU20,3429.75,21.0,3424.37,19.0,3421.3
25/08/2020,ISPU20,3447.75,25.0,3429.86,22.0,3437.59
26/08/2020,ISPU20,3485.0,11.0,3446.91,14.0,3461.68
27/08/2020,ISPU20,3491.5,22.0,3488.78,12.0,3477.73
28/08/2020,ISPU20,3510.0,9.0,3493.25,9.0,3496.61
31/08/2020,ISPU20,3495.0,22.0,3505.48,5.0,3501.75
01/09/2020,ISPU20,3532.0,32.0,3516.95,9.0,3520.47
02/09/2020,ISPU20,3579.25,12.0,3554.94,26.0,3560.21
03/09/2020,ISPU20,3463.5,71.0,3499.58,46.0,3504.32
04/09/2020,ISPU20,3417.5,20.0,3389.33,20.0,3453.46
08/09/2020,ISPU20,3335.0,49.0,3358.41,62.0,3351.43
09/09/2020,ISPU20,3400.0,20.0,3400.95,27.0,3392.26
10/09/2020,ISPU20,3340.5,60.0,3374.15,66.0,3388.42
11/09/2020,ISPU20,3333.75,16.0,3349.64,28.0,3339.88
14/09/2020,ISPU20,3381.0,58.0,3385.88,58.0,3386.06
15/09/2020,ISPU20,3405.25,47.0,3410.92,47.0,3406.55
16/09/2020,ISPU20,3392.75,94.0,3406.17,94.0,3406.05
17/09/2020,ISPU20,3361.5,82.0,3346.36,82.0,3347.87
18/09/2020,ISPU20,3353.6,19.0,3353.6,0.0,0.0
