Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
09/02/2021,INDG21,40.0,119590.625,40.0,119608.125,119369.0,5.375,5.4759,No,0.0,0.0,700.0,16.0,1.96,,85.86211200000001,598.137888
11/02/2021,INDG21,80.0,119886.875,80.0,119897.1875,119223.0,5.3906,5.4759,No,0.0,-0.0,825.0,32.0,1.96,,171.72422400000002,621.275776
12/02/2021,INDG21,55.0,119523.63636363599,55.0,119557.72727272699,119380.0,5.3712,5.4759,No,0.0,0.0,1875.0000000049477,22.0,1.96,,118.06040400000002,1734.9395960049476
